Fecha;PM10;PM 2-5
1/01/2024 1:00;31;31
1/01/2024 2:00;0;60
1/01/2024 3:00;0;57
1/01/2024 4:00;51,1;45
1/01/2024 5:00;49,5;31
1/01/2024 6:00;40,8;36
1/01/2024 7:00;32,5;20
1/01/2024 8:00;28,3;12
1/01/2024 9:00;28,9;18
1/01/2024 10:00;20,8;18
1/01/2024 11:00;15,5;9
1/01/2024 12:00;12;12
1/01/2024 13:00;9;9
1/01/2024 14:00;6,1;5
1/01/2024 15:00;6;6
1/01/2024 16:00;0;11
1/01/2024 17:00;0;18
1/01/2024 18:00;0;21
1/01/2024 19:00;23,4;20
1/01/2024 20:00;27;27
1/01/2024 21:00;31;21
1/01/2024 22:00;22,3;19
1/01/2024 23:00;36;22
2/01/2024 0:00;25,6;10
2/01/2024 1:00;22,8;16
2/01/2024 2:00;25,8;22
2/01/2024 3:00;36,8;25
2/01/2024 4:00;28,6;25
2/01/2024 5:00;29,4;16
2/01/2024 6:00;23,8;18
2/01/2024 7:00;31,2;21
2/01/2024 8:00;31,8;31
2/01/2024 9:00;29,9;21
2/01/2024 10:00;21,6;16
2/01/2024 11:00;29,7;18
2/01/2024 12:00;22,4;9
2/01/2024 13:00;16,6;14
2/01/2024 14:00;12,8;12
2/01/2024 15:00;18,8;18
2/01/2024 16:00;23,5;23
2/01/2024 17:00;32,9;26
2/01/2024 18:00;35,9;25
2/01/2024 19:00;40,7;26
2/01/2024 20:00;42,6;26
2/01/2024 21:00;36,9;19
2/01/2024 22:00;34,3;23
2/01/2024 23:00;37,2;26
3/01/2024 0:00;37,2;13
3/01/2024 1:00;38,3;21
3/01/2024 2:00;34,1;17
3/01/2024 3:00;33,6;23
3/01/2024 4:00;24,7;22
3/01/2024 5:00;38,1;19
3/01/2024 6:00;27,9;23
3/01/2024 7:00;31,6;26
3/01/2024 8:00;43,4;38
3/01/2024 9:00;39,1;30
3/01/2024 10:00;47,9;29
3/01/2024 11:00;47,2;21
3/01/2024 12:00;34,3;13
3/01/2024 13:00;25,2;21
3/01/2024 14:00;19,3;15
3/01/2024 15:00;0;28
3/01/2024 16:00;44,5;27
3/01/2024 17:00;43,7;22
3/01/2024 18:00;44,6;19
3/01/2024 19:00;46,3;14
3/01/2024 20:00;35,2;22
3/01/2024 21:00;30,7;8
3/01/2024 22:00;29,8;15
3/01/2024 23:00;28,4;19
4/01/2024 0:00;27,2;11
4/01/2024 1:00;35,4;23
4/01/2024 2:00;42,9;26
4/01/2024 3:00;46,9;24
4/01/2024 4:00;48;21
4/01/2024 5:00;38,2;17
4/01/2024 6:00;37,8;18
4/01/2024 7:00;35,5;22
4/01/2024 8:00;34,3;21
4/01/2024 9:00;42,3;33
4/01/2024 10:00;52,7;28
4/01/2024 11:00;38;24
4/01/2024 12:00;35,1;14
4/01/2024 13:00;25;12
4/01/2024 14:00;18;12
4/01/2024 15:00;33,4;23
4/01/2024 16:00;42,7;19
4/01/2024 17:00;41,2;19
4/01/2024 18:00;47,7;13
4/01/2024 19:00;39,6;16
4/01/2024 20:00;36,8;20
4/01/2024 21:00;38,2;28
4/01/2024 22:00;41,1;24
